국적 및 지역,성별,합계,유학(D-2),전문학사(D-2-1),학사유학(D-2-2),석사유학(D-2-3),박사유학(D-2-4),연구유학(D-2-5),교환학생(D-2-6),교환학생(D-2-F),일반연수(D-4),대학부설어학원연수(D-4-1),외국어연수(D-4-7)
콩      고,(F),2,0,0,0,0,0,0,0,0,2,2,0
잠  비  아,(M),17,9,1,4,3,1,0,0,0,8,8,0
잠  비  아,(F),13,9,0,3,6,0,0,0,0,4,4,0
가      봉,(M),20,16,0,7,5,4,0,0,0,4,4,0
가      봉,(F),9,7,0,3,4,0,0,0,0,2,2,0
부  룬  디,(M),19,18,0,0,14,3,0,1,0,1,1,0
부  룬  디,(F),13,12,0,3,9,0,0,0,0,1,1,0
기      니,(M),5,4,0,0,4,0,0,0,0,1,1,0
기      니,(F),1,1,0,0,0,0,0,1,0,0,0,0
감  비  아,(M),7,5,0,1,4,0,0,0,0,2,2,0
감  비  아,(F),0,0,0,0,0,0,0,0,0,0,0,0
시에라리온,(M),4,4,0,0,4,0,0,0,0,0,0,0
시에라리온,(F),1,1,0,0,1,0,0,0,0,0,0,0
토      고,(M),11,10,0,1,8,0,0,1,0,1,1,0
토      고,(F),2,2,0,0,1,0,0,1,0,0,0,0
말      리,(M),1,1,0,1,0,0,0,0,0,0,0,0
말      리,(F),0,0,0,0,0,0,0,0,0,0,0,0
말  라  위,(M),11,9,0,2,6,1,0,0,0,2,2,0
말  라  위,(F),4,3,0,1,2,0,0,0,0,1,1,0
마다가스카르,(M),4,3,0,1,2,0,0,0,0,1,1,0
마다가스카르,(F),7,7,0,2,5,0,0,0,0,0,0,0
모 잠 비 크,(M),7,5,0,0,5,0,0,0,0,2,2,0
모 잠 비 크,(F),5,3,0,3,0,0,0,0,0,2,2,0
모 리 셔 스,(M),0,0,0,0,0,0,0,0,0,0,0,0
모 리 셔 스,(F),2,2,0,1,1,0,0,0,0,0,0,0
베      냉,(M),5,2,0,0,2,0,0,0,0,3,3,0
베      냉,(F),0,0,0,0,0,0,0,0,0,0,0,0
부르키나파소,(M),2,1,0,0,1,0,0,0,0,1,1,0
부르키나파소,(F),0,0,0,0,0,0,0,0,0,0,0,0
모 리 타 니,(M),9,5,0,1,4,0,0,0,0,4,4,0
모 리 타 니,(F),0,0,0,0,0,0,0,0,0,0,0,0
소 말 리 아,(M),3,1,0,0,1,0,0,0,0,2,2,0
소 말 리 아,(F),4,4,0,1,2,0,0,1,0,0,0,0
중앙 아프리카 공화국,(M),6,4,0,4,0,0,0,0,0,2,2,0
중앙 아프리카 공화국,(F),1,1,0,1,0,0,0,0,0,0,0,0
보 츠 와 나,(M),2,2,0,0,2,0,0,0,0,0,0,0
보 츠 와 나,(F),5,2,0,0,2,0,0,0,0,3,3,0
남수단공화국,(M),5,1,0,0,0,1,0,0,0,4,4,0
남수단공화국,(F),1,1,0,1,0,0,0,0,0,0,0,0
차      드,(M),5,2,0,1,0,1,0,0,0,3,3,0
차      드,(F),0,0,0,0,0,0,0,0,0,0,0,0
에리트레아,(M),2,2,0,0,2,0,0,0,0,0,0,0
에리트레아,(F),0,0,0,0,0,0,0,0,0,0,0,0
레  소  토,(M),2,1,0,0,1,0,0,0,0,1,1,0
레  소  토,(F),1,1,0,0,1,0,0,0,0,0,0,0
기니비사우,(M),1,0,0,0,0,0,0,0,0,1,1,0
기니비사우,(F),0,0,0,0,0,0,0,0,0,0,0,0
나 미 비 아,(M),1,0,0,0,0,0,0,0,0,1,1,0
나 미 비 아,(F),0,0,0,0,0,0,0,0,0,0,0,0
기타,(M),4,2,0,1,1,0,0,0,0,2,2,0
기타,(F),0,0,0,0,0,0,0,0,0,0,0,0
